case_id,building_type,method,routing_policy,run_id,seed,num_agents,operational_clearance_time_s,clearance_90_s,peak_density,congestion_duration_s,bottleneck_count,completed_pct
C,office floor,density_aware,least_crowded,7,1337,70,181.6,81.32,27.48,88.6,80,95.7
C,office floor,density_aware,least_crowded,8,1338,70,133.4,69.84,23.56,65.7,76,95.7
C,office floor,density_aware,least_crowded,9,1339,70,471.6,79.7,98.72,246.0,75,94.3
C,office floor,density_aware,least_crowded,10,1340,70,121.4,52.36,23.56,58.3,73,95.7
C,office floor,peopleflow_guided,guided,1,1341,70,467.4,277.8,424.36,299.0,132,87.1
C,office floor,peopleflow_guided,guided,2,1342,70,338.0,217.56,329.0,297.2,124,90.0
C,office floor,peopleflow_guided,guided,3,1343,70,547.0,249.84,418.4,296.5,130,84.3
C,office floor,peopleflow_guided,guided,4,1344,70,448.8,237.28,276.32,297.3,127,90.0
C,office floor,peopleflow_guided,guided,5,1345,70,557.0,212.8,326.56,297.9,131,88.6
C,office floor,peopleflow_guided,guided,6,1346,70,341.4,160.4,298.04,298.3,124,87.1
C,office floor,peopleflow_guided,guided,7,1347,70,554.2,259.58,331.12,297.6,125,88.6
C,office floor,peopleflow_guided,guided,8,1348,70,582.0,155.8,355.04,297.5,127,90.0
C,office floor,peopleflow_guided,guided,9,1349,70,516.6,199.74,265.36,297.2,120,91.4
C,office floor,peopleflow_guided,guided,10,1350,70,484.0,240.54,307.68,297.9,123,88.6
D,apartment layout,shortest_path,shortest_path,1,1411,74,432.4,169.9,236.64,297.9,82,91.9
D,apartment layout,shortest_path,shortest_path,2,1412,74,380.4,239.64,239.4,269.7,96,91.9
D,apartment layout,shortest_path,shortest_path,3,1413,74,560.0,203.2,200.12,278.8,81,95.9
D,apartment layout,shortest_path,shortest_path,4,1414,74,437.0,268.24,232.64,264.0,95,91.9
D,apartment layout,shortest_path,shortest_path,5,1415,74,367.8,232.28,206.68,298.6,92,93.2
D,apartment layout,shortest_path,shortest_path,6,1416,74,379.0,244.28,225.32,209.8,109,87.8
D,apartment layout,shortest_path,shortest_path,7,1417,74,381.0,172.8,133.12,187.6,82,95.9
D,apartment layout,shortest_path,shortest_path,8,1418,74,590.6,197.0,234.92,294.4,78,90.5
D,apartment layout,shortest_path,shortest_path,9,1419,74,593.4,210.52,216.4,297.8,90,93.2
D,apartment layout,shortest_path,shortest_path,10,1420,74,518.2,175.6,151.24,256.0,85,95.9
